Depmun	Municipio	Dep	id_ente	Departamento
05001	Medellin	05	03	Antioquia
05002	Abejorral	05	02	Antioquia
05004	Abriaqui	05	02	Antioquia
05030	Amaga	05	02	Antioquia
05031	Amalfi	05	02	Antioquia
05031	Amalfi	05	02	Antioquia
05034	Andes	05	02	Antioquia
05036	Angelopolis	05	02	Antioquia
05038	Angostura	05	02	Antioquia
05040	Anori	05	02	Antioquia
05042	Santafe de Antioquia	05	02	Antioquia
05044	Anza	05	02	Antioquia
05045	Apartado	05	90	Apartado
05051	Arboletes	05	02	Antioquia
05055	Argelia	05	02	Antioquia
05059	Armenia	05	02	Antioquia
05079	Barbosa	05	02	Antioquia
05086	Belmira	05	02	Antioquia
05088	Bello	05	04	Bello
05091	Betania	05	02	Antioquia
05093	Betulia	05	02	Antioquia
05101	Ciudad Bolivar	05	02	Antioquia
05107	Briceno	05	02	Antioquia
05113	Buritica	05	02	Antioquia
05120	Caceres	05	02	Antioquia
05125	Caicedo	05	02	Antioquia
05129	Caldas	05	02	Antioquia
05134	Campamento	05	02	Antioquia
05138	Canasgordas	05	02	Antioquia
05142	Caracoli	05	02	Antioquia
05145	Caramanta	05	02	Antioquia
05147	Carepa	05	02	Antioquia
05148	El Carmen de Viboral	05	02	Antioquia
05150	Carolina	05	02	Antioquia
05154	Caucasia	05	02	Antioquia
05172	Chigorodo	05	02	Antioquia
05190	Cisneros	05	02	Antioquia
05197	Cocorna	05	02	Antioquia
05206	Concepcion	05	02	Antioquia
05209	Concordia	05	02	Antioquia
05212	Copacabana	05	02	Antioquia
05234	Dabeiba	05	02	Antioquia
05237	Don Matias	05	02	Antioquia
05240	Ebejico	05	02	Antioquia
05250	El Bagre	05	02	Antioquia
05264	Entrerrios	05	02	Antioquia
05266	Envigado	05	05	Envigado
05282	Fredonia	05	02	Antioquia
05284	Frontino	05	02	Antioquia
05306	Giraldo	05	02	Antioquia
05308	Girardota	05	02	Antioquia
05310	Gomez Plata	05	02	Antioquia
05313	Granada	05	02	Antioquia
05315	Guadalupe	05	02	Antioquia
05318	Guarne	05	02	Antioquia
05321	Guatape	05	02	Antioquia
05347	Heliconia	05	02	Antioquia
05353	Hispania	05	02	Antioquia
05360	Itagui	05	06	Itagui
05361	Ituango	05	02	Antioquia
05364	Jardin	05	02	Antioquia
05368	Jerico	05	02	Antioquia
05376	La Ceja	05	02	Antioquia
05380	La Estrella	05	02	Antioquia
05390	La Pintada	05	02	Antioquia
05400	La Union	05	02	Antioquia
05411	Liborina	05	02	Antioquia
05425	Maceo	05	02	Antioquia
05440	Marinilla	05	02	Antioquia
05467	Montebello	05	02	Antioquia
05475	Murindo	05	02	Antioquia
05480	Mutata	05	02	Antioquia
05483	Narino	05	02	Antioquia
05490	Necocli	05	02	Antioquia
05495	Nechi	05	02	Antioquia
05501	Olaya	05	02	Antioquia
05541	Penol	05	02	Antioquia
05543	Peque	05	02	Antioquia
